"id","chart_template_id/id","code_prefix_start","code_prefix_end","name"
"kp_rrif_acc_group_236","l10n_hr_coa_rrif_2015_template","2361","2369","236 - Obveze iz vanjskotrgovačkog poslovanja"
"kp_rrif_acc_group_237","l10n_hr_coa_rrif_2015_template","2371","2379","237 - Obveze prema poslovnim jedinicama u inozemstvu"
"kp_rrif_acc_group_238","l10n_hr_coa_rrif_2015_template","2381","2389","238 - Obveze iz stjecanja udjela"
"kp_rrif_acc_group_239","l10n_hr_coa_rrif_2015_template","2391","2399","239 - Ostale kratkoročne obveze"
"kp_rrif_acc_group_24","l10n_hr_coa_rrif_2015_template","241","249","24 - KRATKOROČNE OBVEZE ZA POREZE, DOPRINOSE I SLIČNA DAVANJA"
"kp_rrif_acc_group_240","l10n_hr_coa_rrif_2015_template","2401","2409","240 - Obveze za porez na dodanu vrijednost"
"kp_rrif_acc_group_2400","l10n_hr_coa_rrif_2015_template","24001","24009","2400 - Obveze za PDV"
"kp_rrif_acc_group_24001","l10n_hr_coa_rrif_2015_template","240011","240019","24001 - Obveza za PDV po isporukama"
"kp_rrif_acc_group_24002","l10n_hr_coa_rrif_2015_template","240021","240029","24002 - Obveza za PDV za primljene predujmove"
"kp_rrif_acc_group_24003","l10n_hr_coa_rrif_2015_template","240031","240039","24003 - Obveza za PDV po nezaračunanim isporukama"
"kp_rrif_acc_group_2401","l10n_hr_coa_rrif_2015_template","24011","24019","2401 - Obveza za PDV iz prenesene porezne obveze iz tuzemstva - 25%"
